n,m,clustering,L,linkage,delta,n_clusters,k,test_size,hidden_layers,bin_clas_threshold,Silhouette Score,Watched Avg Avg,Non-Watched Avg Avg,Gap Avg,ROC AUC Avg,PRC AUC Avg,Precision Avg,Recall Avg,F1-Score Avg
1213,2185,agglomerative,100,average,,8,5,0.1,"(4096, 2048)",0.3,0.0179,0.2249,0.0227,0.2022,0.8141,0.2470,0.3441,0.2798,0.3040
1213,2185,agglomerative,100,average,,8,5,0.1,"(4096, 2048)",0.3,0.0179,0.1819,0.0235,0.1584,0.7833,0.1974,0.3072,0.2283,0.2592
